,index,addr,type,total_volumn,ETH,froms,block_time_min_list,BSC,Gnosis,Optimism,Arbitrum
2,2,0x276f695b3b2c7f24e7cf5b9d24e416a7f357adb7,ether,0.0,12,4,"['2022-08-26 13:04', '2022-08-26 13:07', '2022-08-26 13:19', '2022-08-26 13:26', '2022-08-26 13:28', '2022-08-26 13:39', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:24', '2022-06-28 22:24', '2022-06-28 23:03', '2022-06-28 23:47']",0,0,0,0
15,15,0xb9b012cad0a7c1b10cbe33a1b3f623b06fad1c7c,ether,0.0,33,4,"['2022-07-26 12:00', '2022-07-26 12:00', '2022-07-26 12:10', '2022-08-18 19:10', '2022-08-18 19:11', '2022-08-18 19:20', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:24', '2022-06-28 22:24', '2022-06-28 23:05', '2022-06-28 23:52', '2022-08-09 19:55', '2022-08-09 19:55', '2022-08-09 20:08', '2022-07-01 13:47', '2022-07-01 13:48', '2022-07-01 13:49', '2022-07-01 13:49', '2022-07-01 14:02', '2022-07-01 14:12', '2022-07-19 18:21', '2022-07-19 19:01', '2022-07-19 21:27', '2022-08-26 16:27', '2022-08-26 16:29', '2022-08-26 16:42', '2022-07-11 19:50', '2022-07-11 19:51', '2022-07-11 20:09', '2022-08-02 13:36', '2022-08-02 13:36', '2022-08-02 13:56']",0,0,0,0
3,3,0x2a6ab3b0c96377bd20ae47e50ae426a8546a4ae9,ether,0.0,6,3,"['2022-06-29 00:12', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:13']",0,0,0,0
18,18,0xec640a90e9a30072158115b7c0253f2689ee6547,ether,0.0,12,4,"['2022-06-29 00:11', '2022-08-26 15:47', '2022-08-26 15:49', '2022-08-26 16:00', '2022-08-26 16:06', '2022-08-26 16:08', '2022-08-26 16:19', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:12']",0,0,0,0
14,14,0xa71bbbd288a4e288cfdc08bb2e70dcd74da4486d,ether,0.0,12,4,"['2022-06-29 00:09', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:12', '2022-08-26 15:03', '2022-08-26 15:05', '2022-08-26 15:18', '2022-08-26 15:25', '2022-08-26 15:27', '2022-08-26 15:39']",0,0,0,0
1,1,0x157235a3cc6011d9c26a010875c2550246aabcca,ether,0.0,6,3,"['2022-06-29 00:09', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:11']",0,0,0,0
9,9,0x8652fb672253607c0061677bdcafb77a324de081,ether,0.0,6,3,"['2022-06-29 00:08', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:10']",0,0,0,0
7,7,0x7594eb0ca0a7f313befd59afe9e95c2201a443e4,ether,0.0,6,3,"['2022-06-29 00:05', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:10']",0,0,0,0
11,11,0x9bbb46637a1df7cadec2afca19c2920cddcc8db8,ether,0.0,6,3,"['2022-06-29 00:04', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:10']",0,0,0,0
8,8,0x76287e0f7b107d1c9f8f01d5afac314ea8461a04,ether,0.0,6,3,"['2022-06-29 00:03', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:09']",0,0,0,0
0,0,0x0dffd343c2d3460a7ead2797a687304beb394ce0,ether,0.0,6,3,"['2022-06-29 00:02', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:08']",0,0,0,0
4,4,0x35a5dc3fd1210fe7173add3c01144cf1693b5e45,ether,0.0,6,3,"['2022-06-29 00:00', '2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:08']",0,0,0,0
12,12,0x9c17f630dbde24eece8fd248faa2e51f690ff79b,ether,0.0,6,3,"['2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:07', '2022-06-28 23:58']",0,0,0,0
17,17,0xd48133c96c5fe8d41d0cbd598f65bf4548941e27,ether,0.0,6,3,"['2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:07', '2022-06-28 23:57']",0,0,0,0
5,5,0x55b0ba1994d68c2ab0c01c3332ec9473de296137,ether,0.0,6,3,"['2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:07', '2022-06-28 23:56']",0,0,0,0
16,16,0xd321948212663366503e8dccde39cc8e71c267c0,ether,0.0,6,3,"['2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:25', '2022-06-28 22:25', '2022-06-28 23:06', '2022-06-28 23:54']",0,0,0,0
10,10,0x959815462eec5fff387a2e8a6871d94323d371de,ether,0.0,6,3,"['2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:24', '2022-06-28 22:24', '2022-06-28 23:05', '2022-06-28 23:50']",0,0,0,0
6,6,0x5eab1966d5f61e52c22d0279f06f175e36a7181e,ether,0.0,6,3,"['2022-06-28 22:23', '2022-06-28 22:23', '2022-06-28 22:24', '2022-06-28 22:24', '2022-06-28 23:04', '2022-06-28 23:48']",0,0,0,0
13,13,0xa42d0a18b834f52e41beddeaa2940165db3da9a3,ether,0.0,6,3,"['2022-06-28 22:22', '2022-06-28 22:23', '2022-06-28 22:24', '2022-06-28 22:24', '2022-06-28 23:02', '2022-06-28 23:46']",0,0,0,0
